filetype	tag	column	name	qtype	datatype	nulls	note
Orders	MarketableTradedVwap	marketable_traded_vwap	marketable_traded_vwap	f	number(28,14)	1	
Orders	Pwp10	pwp_10	pwp_10	f	number(28,14)	1	
Orders	Pwp10Flag	pwp_10_flag	pwp_10_flag	s	varchar(10)	1	False or blank
Orders	Pwp15	pwp_15	pwp_15	f	number(28,14)	1	
Orders	Pwp15Flag	pwp_15_flag	pwp_15_flag	s	varchar(10)	1	False or blank
Orders	Pwp20	pwp_20	pwp_20	f	number(28,14)	1	
Orders	Pwp20Flag	pwp_20_flag	pwp_20_flag	s	varchar(10)	1	False or blank
Orders	ArrivalBid	arrival_bid	arrival_bid	f	number(18,6)	1	
Orders	ArrivalAsk	arrival_ask	arrival_ask	f	number(18,6)	1	
Orders	ArrivalLast	arrival_last	arrival_last	f	number(18,6)	1	
Orders	OrderCorrection	order_correction	order_correction	*	varchar(50)	1	(no values supplied)
Orders	TodaysOpeningPrice	todays_opening_price	todays_opening_price	f	number(18,6)	1	
Orders	TodaysClosingPrice	todays_closing_price	todays_closing_price	f	number(18,6)	1	
Orders	Buyback10b18TradedVolume	buyback_10b18_traded_volume	buyback_10b18_traded_volume	j	number(38,0)	1	
Orders	Buyback10b18TradedNotional	buyback_10b18_traded_notional	buyback_10b18_traded_notional	f	number(28,6)	1	
Orders	Buyback10b18TradedVwap	buyback_10b18_traded_vwap	buyback_10b18_traded_vwap	f	number(28,14)	1	
Orders	Buyback10b18TradedCount	buyback_10b18_traded_count	buyback_10b18_traded_count	j	number(38,0)	1	
Orders	ImplementationShortfall	implementation_shortfall	implementation_shortfall	f	number(28,14)	1	
Orders	ImplementationShortfallDollar	implementation_shortfall_dollar	implementation_shortfall_dollar	f	number(28,14)	1	
Orders	OrderVwap	order_vwap	order_vwap	f	number(28,14)	1	
Orders	OrderVwapDollar	order_vwap_dollar	order_vwap_dollar	f	varchar(50)	1	
Orders	DurationVwap	duration_vwap	duration_vwap	f	number(28,14)	1	
Orders	DurationVwapDollar	duration_vwap_dollar	duration_vwap_dollar	f	number(28,14)	1	
Orders	VsPreviousClose	vs_previous_close	vs_previous_close	f	number(28,14)	1	
Orders	SpreadCapture	spread_capture	spread_capture	f	number(28,14)	1	
Orders	MeanBookSpreadBps	mean_book_spread_bps	mean_book_spread_bps	f	number(28,14)	1	
Orders	MeanBookSpreadDollar	mean_book_spread_dollar	mean_book_spread_dollar	f	number(28,14)	1	
Orders	DurationParticipation	duration_participation	duration_participation	f	number(28,14)	1	
Orders	ADV10Participation	adv_10_participation	adv_10_participation	f	number(28,14)	1	
Orders	ADV30Participation	adv_30_participation	adv_30_participation	f	number(28,14)	1	
Orders	PreviousDayParticipation	previous_day_participation	previous_day_participation	f	number(28,14)	1	
Orders	Post5MinBidPrice	post_5_min_bid_price	post_5_min_bid_price	f	number(18,6)	1	
Orders	Post5MinAskPrice	post_5_min_ask_price	post_5_min_ask_price	f	number(18,6)	1	
Orders	Post10MinBidPrice	post_10_min_bid_price	post_10_min_bid_price	f	number(18,6)	1	
Orders	Post10MinAskPrice	post_10_min_ask_price	post_10_min_ask_price	f	number(18,6)	1	
Orders	Post15MinBidPrice	post_15_min_bid_price	post_15_min_bid_price	f	number(18,6)	1	
Orders	Post15MinAskPrice	post_15_min_ask_price	post_15_min_ask_price	f	number(18,6)	1	
Orders	Post20MinBidPrice	post_20_min_bid_price	post_20_min_bid_price	f	number(18,6)	1	
Orders	Post20MinAskPrice	post_20_min_ask_price	post_20_min_ask_price	f	number(18,6)	1	
Orders	AvailableVWAP	available_vwap	available_vwap	f	number(28,14)	1	
